FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
Arzanah,Middle East,United Arab Emirates,,Arzanah,"Hess, ZADCO",Completed,FPS,1 Jul 1978,30,"SBM = mooring + install on fixed lumpsum contract.Vessel decommissioned November 2, 1998."
Atlantis Project UAQ,Middle East,United Arab Emirates,,Umm Al-Qaiwain,UAE Offsets Group,Operational,Fixed,31 Dec 2007,35,
CBM off coast of Jebel Dhana,Middle East,United Arab Emirates,,,,Completed,Infrastructure,1 Jul 2004,5,
Dalma,Middle East,United Arab Emirates,,Dalma,Adma-Opco,Completed,Fixed,1 Jul 1987,10,
Das,Middle East,United Arab Emirates,,Das,Adma-Opco,Completed,Fixed,1 Jul 1999,30,
Das Island 1977,Middle East,United Arab Emirates,Ruwais,Das Island,GASCO,Completed,Infrastructure,1 Jan 1977,0,
Das Island to Ras Al Quila Ppl 2009,Middle East,United Arab Emirates,Ruwais,Das Island,GASCO,Completed,Fixed,1 Dec 2009,0,also known as the Ruwais ppl project
DAS Marine Terminal off Abu Dhabi,Middle East,United Arab Emirates,Ruwais,DAS Marine Terminal off Abu Dhabi,,Completed,Infrastructure,1 Jun 2005,,
DUSUP (Jebel Ali) LNG Terminal,Middle East,United Arab Emirates,,,DUSUP,Operational,Infrastructure,1 Dec 2010,11,FSRU for Dubai Supply Authority's (DUSUP's) Jebel Ali receiving terminal.
El Bunduq,Middle East,United Arab Emirates,,El Bunduq,"BP, UPDC",Completed,Fixed,1 Jun 1975,18,
El Bunduq 1988,Middle East,United Arab Emirates,,El Bunduq,Bunduq Oil,Completed,Fixed,1 Jul 1988,18,
Emergency Pipeline Repair Service ( EPRS),Middle East,United Arab Emirates,,Zakum,ZADCO,Working,Fixed,31 Dec 2014,16,"06/2013: NPCC to carry out 2-month emergency pipeline repair service (EPRS) on ZADCO's Upper Zakum 42-in, 50km pipeline; it will install 8 connectors onto the pipeline"
Falah,Middle East,United Arab Emirates,,Falah,Dubai Petroleum,Completed,Fixed,15 Jul 1978,48,
Fateh,Middle East,United Arab Emirates,,Fateh,Dubai Petroleum,Operational,FPS,6 Sep 1969,55,
Fateh 2008,Middle East,United Arab Emirates,,Fateh,Dubai Petroleum,Operational,Fixed,31 Dec 2008,55,
Fateh Pipelines,Middle East,United Arab Emirates,,Fateh,Dubai Petroleum,Completed,Infrastructure,30 Jun 2014,55,
Fateh T-02 platform,Middle East,United Arab Emirates,,Fateh,,Completed,Fixed,31 Dec 2013,55,02/2014:  ultra-lightweight supported tripod platform for drilling and well test campaign
Flare B Project,Middle East,United Arab Emirates,,Zakum,Adma-Opco,Completed,Fixed,15 Jul 2013,16,
Fujairah Asia Power Company (FAPCo) SPM and PPL,Middle East,United Arab Emirates,,,FAPCo,Completed,Infrastructure,31 May 2013,26,
GA,Middle East,United Arab Emirates,,GA,ADOC,Completed,Fixed,1 Jul 1995,6,
Gas Reinjection,Middle East,United Arab Emirates,,Umm Shaif,Adma-Opco,Completed,,1 Jul 1961,25,
Hail 1986,Middle East,United Arab Emirates,,Hail,UDECO,Completed,Fixed,1 Jul 1986,14,
Hail Gas Development,Middle East,United Arab Emirates,,Hail,GASCO,Planned,Fixed,31 Dec 2020,14,"12/10: development put on hold

11/08 will produce sour gas and be sent to Habshan onshore gas plant"
Hail Phase 1 (ADOC Development),Middle East,United Arab Emirates,,Hail,"ADOC, UDECO",Planned,Fixed,31 Dec 2018,14,"12/2013: production manifolds are planned to be installed on a new artificial island including wellheads, production/test manifolds and utilities"
Integrated Gas Devt (IGD),Middle East,United Arab Emirates,,Umm Shaif,Adma-Opco,Completed,Fixed,15 May 2013,25,
Integrated Gas Devt (IGD) expansion,Middle East,United Arab Emirates,Ruwais,Das Island,GASCO,Tendering,Infrastructure,20 Mar 2018,0,"07/14: Tender package, referred to as package 2, pertains to a 42-in 117km trunkline between Das Island and onshore, terminating at a gas plant."
Jabel Dhanna,Middle East,United Arab Emirates,,Jabel Dhanna,ADOC,Completed,Infrastructure,1 Jul 1990,20,
Khuff EOR,Middle East,United Arab Emirates,,Abu Al Bu Khoosh,,Completed,Fixed,1 Jun 2008,28,
Khuff Gas,Middle East,United Arab Emirates,,Abu Al Bu Khoosh,"Adma-Opco, Total",Operational,Fixed,15 Jun 1974,28,
Lower Zakum Platform Modification (ZKOL),Middle East,United Arab Emirates,,Zakum,Adma-Opco,Working,Fixed,31 Dec 2016,16,01/2013: modification of 6 platforms on the Lower Zakum field
Lower Zakum WI Platform,Middle East,United Arab Emirates,,Zakum,Adma-Opco,Operational,Fixed,15 Jan 2013,16,"10/12: the project aims to boost production on Lower Zakum field to 400,000 bpd"
Mubarek,Middle East,United Arab Emirates,,Mubarek,"ADOC, Crescent",Completed,FPS,1 Jul 1974,65,"London Marine Consultants = selected vsl, engrg of turret/turret install, supervise fab & install."
Mubarraz,Middle East,United Arab Emirates,,Mubarraz,ADOC,Completed,Fixed,1 May 1973,20,"ADOC (Abu Dhabi Oil Co.,Ltd.) is an operating consortium of Japan Energy Corporation (formerly known as Nippon Mining Co. Ltd) and Cosmo Oil (merged Maruzen Oil Co, Ltd and Daikyo Co Ltd)"
Mubarraz 2010,Middle East,United Arab Emirates,,Mubarraz,ADOC,Completed,Fixed,1 Aug 2010,20,"ADOC (Abu Dhabi Oil Co.,Ltd.) is an operating consortium of Japan Energy Corporation (formerly known as Nippon Mining Co. Ltd) and Cosmo Oil (merged Maruzen Oil Co, Ltd and Daikyo Co Ltd)"
Nasr Full Field Development (Phase 2),Middle East,United Arab Emirates,,Nasr,Adma-Opco,Construction,Fixed,31 Dec 2019,20,
Nasr Phase 1,Middle East,United Arab Emirates,,Nasr (+ Umm Shaif),Adma-Opco,Construction,Fixed,31 Dec 2014,20,
Nasr Water Injection 14-in pipeline,Middle East,United Arab Emirates,,Nasr,Adma-Opco,Operational,Fixed,31 Dec 2013,20,
Off Abu Dhabi - Das Island flange pit,Middle East,United Arab Emirates,,,Adma-Opco,Completed,Infrastructure,1 Jul 1999,15,
"Off coast of Jebel Dhana, UAE.",Middle East,United Arab Emirates,,"Off coast of Jebel Dhana, UAE.",,Completed,Infrastructure,1 Jun 2003,10,
Off Hamriyah,Middle East,United Arab Emirates,,Hamriyah,,Completed,Infrastructure,1 Jun 1994,20,
Off Mubarras Island,Middle East,United Arab Emirates,,Off Mubarras Island,,Completed,Infrastructure,1 Jun 1972,18,
Off Rosal Knafji,Middle East,United Arab Emirates,,Off Rosal Knafji,,Completed,Infrastructure,1 Jun 1981,,
Off Ruwais,Middle East,United Arab Emirates,,,ADNOC,Completed,Fixed,1 Jul 1995,20,
Off Sharjah,Middle East,United Arab Emirates,,Sharjah-2,,Completed,Infrastructure,1 Jun 1981,20,
Offshore Abu Dhabi,Middle East,United Arab Emirates,,,UDECO,Completed,Fixed,1 Jul 1986,14,
Offshore Das Island,Middle East,United Arab Emirates,,,ADGAS,Completed,Fixed,1 Jul 1993,6,
Offshore Ruwais,Middle East,United Arab Emirates,,,ADNOC,Completed,Fixed,1 Jul 1991,12,
Pipeline remedial (IRM) DP fields,Middle East,United Arab Emirates,,Fateh,Dubai Petroleum,Completed,Fixed,8 Sep 2012,55,
Platform GA-2/4,Middle East,United Arab Emirates,,,ADOC,Completed,Infrastructure,1 Jul 1995,3,
RAK B tie-back to Saleh,Middle East,United Arab Emirates,,RAK B,DNO,Planned,Fixed,15 Apr 2017,97,08/2013: DNO will drill an appraisal well on the RAK B field in early 2014; development of the RAK B field will likely involve a single unmanned platform tied back to the Saleh field
Rakhash,Middle East,United Arab Emirates,,Rakhash,IMINOCO,Completed,Subsea,1 Jun 1977,76,
Rashid,Middle East,United Arab Emirates,,Rashid,Dubai Petroleum,Completed,Fixed,1 Mar 1979,48,
Ruwais,Middle East,United Arab Emirates,Ruwais,Ruwais,"ADNOC, UDECO",Completed,Fixed,1 Jul 1986,19,
Saleh,Middle East,United Arab Emirates,,Saleh,DNO,Operational,FPS&Fixed,3 Jan 1984,97,
Saleh Upgrade/Redevelopment,Middle East,United Arab Emirates,,Saleh,DNO,Completed,Fixed,10 Oct 2013,97,
Satah,Middle East,United Arab Emirates,,Satah,"UDECO, ZADCO",Completed,Fixed,15 Mar 1987,24,
Satah Al Raz Boot (SARB),Middle East,United Arab Emirates,,Satah Al Raz Boot (SARB),Adma-Opco,Construction,Fixed,30 Apr 2016,20,"12/10: the development will involve 2  artificial islands to support drilling, production, processing and distribution instead of installing offshore platforms"
Satah Full Field Development,Middle East,United Arab Emirates,,Satah,ZADCO,Construction,Fixed,26 Feb 2015,24,
Southwest Fateh,Middle East,United Arab Emirates,,Southwest Fateh,Dubai Petroleum,Operational,Fixed,16 Oct 1972,48,
SW Fateh & Falah Pipeline Replacement,Middle East,United Arab Emirates,,Southwest Fateh,Dubai Petroleum,Operational,Fixed,20 Jun 2013,48,
Tankfarm manifold,Middle East,United Arab Emirates,,,Vopak ENOC Fujairah,Completed,Infrastructure,1 Jul 2002,12,
Tankfarm manifold,Middle East,United Arab Emirates,,,Vopak ENOC Fujairah,Completed,Infrastructure,1 Jul 2002,12,
Topside upgrade (Thamama section),Middle East,United Arab Emirates,,Zakum,ZADCO,Operational,Fixed,30 Jun 2015,16,
Umm Al-Dalkh,Middle East,United Arab Emirates,,Umm Al-Dalkh,UDECO,Completed,Fixed,1 Jul 1985,22,
Umm Lulu Phase I,Middle East,United Arab Emirates,,Umm Lulu,Adma-Opco,Operational,Fixed,2 Oct 2014,20,"10/2014: 2 wellhead platforms with 5 wells each to produce 22,000 b/d once fully operational; in mid-October 2014 one of the two WH platforms went into production"
Umm Lulu Phase II,Middle East,United Arab Emirates,,Umm Lulu,Adma-Opco,Construction,Fixed,18 Jun 2017,20,
Umm Shaif,Middle East,United Arab Emirates,,Umm Shaif,"Adma-Opco, ADNOC",Operational,Fixed,1 Jul 1961,25,
Umm Shaif Gas Injection Facilities (USGIF),Middle East,United Arab Emirates,,Umm Shaif,Adma-Opco,Operational,Fixed,30 Sep 2011,25,
Umm Shaif Oil Network Expansion Project,Middle East,United Arab Emirates,,Umm Shaif (+ Umm Lulu),Adma-Opco,Working,Fixed,15 Aug 2016,25,
Umm Shaif Pipeline Replacement,Middle East,United Arab Emirates,,Umm Shaif,Adma-Opco,Construction,Fixed,20 Jan 2016,25,"07/2013: replacement of 14-in, 10km ppl that was installed in 2010"
Umm Shaif trunkline replacement,Middle East,United Arab Emirates,,Umm Shaif,Adma-Opco,Operational,Fixed,1 Feb 2011,25,
Umm Shaif Well Maintenance,Middle East,United Arab Emirates,,Umm Shaif,Adma-Opco,Working,Fixed,23 Apr 2008,25,
Upper Zakum (UZ 750),Middle East,United Arab Emirates,,Zakum,ZADCO,Construction,Fixed,15 Sep 2016,16,"10/12: UZ expansion to increase field production capcity to 750,000 b/d from the exisitng 500,000 b/d"
Vopak ENOC Terminal Extension,Middle East,United Arab Emirates,,,Vopak ENOC Fujairah,Operational,Subsea,1 Dec 2002,19,"project had increased tanker berths from two to three at the terminal and can load and offload tankers up to 175,000 dwt"
"Vopak Horizon Ppl, SPM replacement",Middle East,United Arab Emirates,,,Vopak Horizon Fujairah,Operational,Fixed,12 Dec 2013,26,"08/12: The operator of the project, Vopak Horizon Fujairah is a JV between Dutch oil storage group Vopak and Bahamas-registered Horizon Terminals;  the operator, formerly known as Vopak ENOC, changed its name to Vopak Horizon in 2003"
ZADCO 12-in flex ppl,Middle East,United Arab Emirates,,Zakum,ZADCO,Completed,Fixed,6 Oct 2013,16,
Zakum,Middle East,United Arab Emirates,,Zakum,ZADCO/ADMA-OPCO,Completed,Fixed,1 Aug 1982,16,
Zakum,Middle East,United Arab Emirates,,Zakum,"Adma-Opco, ZADCO",Completed,Fixed,1 Oct 1967,16,
Zakum (ZCSC) NAP & Demothballing,Middle East,United Arab Emirates,,Zakum,Adma-Opco,Operational,Fixed,1 May 2014,16,"production facilities at Zakum Central Super Complex, mothballed in the 198Os is demothballed and re-commissioned following contract award in April 2010."
Zakum 2012,Middle East,United Arab Emirates,,Zakum,ZADCO,Completed,Fixed,30 Jun 2012,16,05/12: the project involves 2 tripod jackets and 1 helideck
Zakum Accommodation Support,Middle East,United Arab Emirates,,Zakum,ZADCO,Working,Other,31 Oct 2013,16,
Zakum Accommodation Support,Middle East,United Arab Emirates,,Zakum,ZADCO,Operational,Fixed,31 Dec 2013,16,01/2013: provision of accommodation support services on Zakum field
Zakum and Umm Shaif Fields,Middle East,United Arab Emirates,,Zakum,Adma-Opco,Operational,Fixed,1 Jul 1979,16,
Zakum Main Oil Line Replacement,Middle East,United Arab Emirates,,Zakum,ZADCO,Operational,Fixed,1 Mar 2011,16,"replacement of a 60 km, 42-in oil pipeline from Zakum Central Complex to Zirku Island in Abu Dhabi"
Zakum Oil Lines Replacement Project - Phase 1 (ZKOL),Middle East,United Arab Emirates,,Zakum,Adma-Opco,Working,Infrastructure,31 Dec 2017,16,
Zakum Pipeline replacement 2011-12,Middle East,United Arab Emirates,,Zakum,ZADCO,Completed,Fixed,15 Apr 2012,16,
Zakum Upgrade 2012,Middle East,United Arab Emirates,,Zakum,ZADCO,Completed,Fixed,20 Sep 2012,16,"08/10: the project comes in two parts: 1) pressure upgrade and 2) capacity upgrade; PRESSURE UPGRADE involves installation of new pumps, piping and transformers, modification of existing instrumentation and equipment and structural reinforcement work of exisitng water injection modules at both the Zakum Central Super Complex and the Zakum West Super Complex; CAPACITY UPGRADE- to take place on Zakum Central Super Complex;  involves EPC of a new 3,250-tonne deck that will house the new water treatment and injection system, power generation equipment and 6-legged jacket"
Zakum West,Middle East,United Arab Emirates,,Zakum,Adma-Opco,Completed,Fixed,26 Dec 2011,16,
Zirku Buoy 1 replacement 2008,Middle East,United Arab Emirates,,,ZADCO,Operational,Infrastructure,1 Sep 2008,50,buoy is DNV classified
Zirku Buoy 2 replacement 2009,Middle East,United Arab Emirates,,,ZADCO,Completed,Infrastructure,31 Jul 2009,50,08/09: DNV classified
Zirku Island 1979,Middle East,United Arab Emirates,,,ZADCO,Completed,Infrastructure,31 Dec 1979,25,
Zora Phase 1,Middle East,United Arab Emirates,Sharjah Western Offshore Concession,Zora,Dana Gas,Construction,Fixed,31 Dec 2015,25,"05/2014: first gas production targeted in H1 of 2015; estimated output of 40 mmscfd (6,650 boepd)"
Ash Shihr,Middle East,Yemen,-,Ash Shihr Terminal,,Completed,Infrastructure,1 Jun 2004,46,
Off Masila,Middle East,Yemen,,Off Masila,,Completed,Infrastructure,1 Jun 1993,44,
Ras Issa Marine Oil Terminal,Middle East,Yemen,,,SEPOC,Operational,Infrastructure,31 Mar 1988,27,
Ras Issa Oil Terminal 2016,Middle East,Yemen,,,SEPOC,Construction,Infrastructure,1 Jan 2016,30,05/2014: land installation estimated cost around USD 120 million while offshore construction is around USD 40 million
Saleef,Middle East,Yemen,,Saleef,,Operational,FPS,1 Jul 1988,91,Yemen Hunt Oil = subsidiary of Hunt Oil Company. Production commenced in March 1988.
Adda,Northwest Europe,Denmark,5504/8,Adda,Maersk Oil,Cancelled,XReach,30 Jun 2010,38,"07/14: Danish Energy Agency: The well could not reach the Adda field and therefore was this development plan not executed. 

30 Oct 2009 PDO approved. It is planned to drill one new well from an existing slot on the Tyra East B-platform. The well is planned to be a long-reach well completed in reservoir of both the Tyra and the Adda Field. Anticipated spud date late 2009."
Adda LC,Northwest Europe,Denmark,5504/8,Adda,Maersk Oil,Planned,Fixed,19 Dec 2016,38,
Alma,Northwest Europe,Denmark,5505/17,Alma,Maersk Oil,Possible,Subsea,1 Aug 2020,43,2010: suspended indefinitely
Boje,Northwest Europe,Denmark,5504/7,Boje,Maersk Oil,Possible,Subsea,22 Jun 2020,40,2010: development suspended indefinitely
Cecilie,Northwest Europe,Denmark,5604/20,Cecilie,DONG,Completed,Fixed,15 Sep 2003,60,
Dagmar,Northwest Europe,Denmark,5504/15,Dagmar,Maersk Contractors,Completed,Fixed,1 Jun 1991,34,
Dan,Northwest Europe,Denmark,5505/17,Dan,Maersk Contractors,Completed,Fixed,1 Jul 1972,40,
Dan Bravo Rationalisation (DABRAT),Northwest Europe,Denmark,5505/17,Dan,Maersk Oil,Working,Other,3 Jun 2013,40,"02/13: Project due to start in June, and it will involve the upgrade of Dan A,B,C and D. Work will take place over two seasons, with both the Constructor and ETA Protea. 
12/12: Boskalis Offshore awarded subsea contract for this project."
Dansk Undergrunds Consortium (DUC) abandonment,Northwest Europe,Denmark,5504/8,Adda,Maersk Oil,Completed,,6 Aug 2013,38,9/13: Abandonment campaign. 13 wells located in the Dansk Undergrunds Consortium (DUC) fields. Island valiant carrying out abandonment works at these wells until late September or early October.
DONG North Sea IRM,Northwest Europe,Denmark,"5504/6, 5504/15",Gorm,"DONG, Maersk Contractors",Completed,Other,18 Dec 2012,39,
Dong Trunklines,Northwest Europe,Denmark,,Dong Trunklines,,Completed,Infrastructure,15 Dec 1984,60,
Dong Trunklines II,Northwest Europe,Denmark,,Dong Trunklines II,,Completed,Infrastructure,5 Oct 1999,60,
Elly/Luke,Northwest Europe,Denmark,"5504/5, 5504/6",Elly/Luke,,Cancelled,Fixed,12 Sep 2016,40,"11/13: Maersk has decided to relinquish Licence 8/06 after reconsidering the Elly/Luke project's economic viability. 
11/12: First production scheduled for 2015. 
5/11: Shell and Maersk jointly offering up to 60% interest in project. 
4/11: fields to be developed with 2 unmanned wellhead platforms. Production will be sent to Tyra West. Start-up before 2014."
Freja (ex-Gert),Northwest Europe,Denmark,"5603/27, 5603/28",Freja (ex-Gert),Maersk Oil,Possible,Subsea,22 Jun 2020,70,"2010: development suspended indefinitely. joint development with Mjoelner was earlier considered

2013: In 1998, the Gert field was renamed Freja. It was believed that the field extended into the Norwegian PL113 and was part of the Mjoelner discovery (2/12-1 discovery well). However, DONG and NPD now say that the fields are two separate fault blocks."
Gita/Amalie,Northwest Europe,Denmark,"9/06, 9/95",Gita/Amalie,Maersk Oil,Cancelled,Fixed,1 Feb 2018,63,"4/14: Maersk to relinquish licences on grounds that the resource potential of Amalie does not justify further appraisal. Part of the Danish licence 9/06 containing the Gita discovery also to be relinquished. 
8/12: Partner PA Resources says recent activities have not reduced risk on presence of producible hydrocarbons. However, nearby discoveries provides reason to continue with evaluation.

7/12: Further technical evaluations planned. 
4/11: Gita appraisal postponed until 2012
08/09: appraisal in 2010, PDO early 2012. Stand-alone development or a ss tie-back to Harald or South Arne."
Gorm,Northwest Europe,Denmark,"5504/6, 5504/15",Gorm,"DONG, Maersk Contractors",Completed,Fixed,1 May 1981,39,
Halfdan,Northwest Europe,Denmark,5505/13,Halfdan,Maersk Oil,Completed,Fixed,31 Dec 2000,40,
Halfdan Northeast,Northwest Europe,Denmark,5505/13,Halfdan,Maersk Oil,Completed,Fixed,1 Feb 2008,40,
Halfdan Phase-4,Northwest Europe,Denmark,5505/13,Halfdan,Maersk Oil,Completed,Fixed,15 Feb 2011,40,
Harald,Northwest Europe,Denmark,"5604/21, 5604/22",Harald,Maersk Contractors,Completed,Fixed,1 Feb 1998,64,
Hejre,Northwest Europe,Denmark,5603/28,Hejre,DONG,Construction,Fixed,23 Nov 2017,68,"10/14: Supporting foundation of Hejre platform has been installed on seabed and drilling of first production well has started. But work on upper part of platform is challenged by delays at supplier consortium. So production delayed by 2 years, to 2017. 
05/14: Jacket sails away from yard. 
7/11: EOIs for drilling jackup issued

11/10: PDO submitted. Manned platform wih 5 HPHT dry wells. Installation in 2014, start up in 2015."
Kraka,Northwest Europe,Denmark,5505/17,Kraka,Maersk Contractors,Completed,Fixed,1 Mar 1991,45,
Lulita,Northwest Europe,Denmark,5604/22,Lulita,Statoil,Completed,XReach,30 May 1998,66,
Maersk IRM - Danish fields,Northwest Europe,Denmark,5505/17,Dan,Maersk Oil,Completed,Other,23 Apr 2012,40,
Maersk IRM 2013,Northwest Europe,Denmark,5505/17,Dan,Maersk Oil,Working,Other,8 May 2013,40,Fugro will carry out both the pipelines and platform inspection scopes.
Nini,Northwest Europe,Denmark,5605/1,Nini,DONG,Completed,Fixed,15 Sep 2003,58,
Nini East,Northwest Europe,Denmark,5605/1,Nini East (+ Nini),DONG,Completed,Fixed&SS,25 Feb 2010,58,
Nini WI Line Replacement,Northwest Europe,Denmark,5605/1,Nini,DONG,Completed,Fixed,1 Jul 2009,58,
Off Frederickshaven,Northwest Europe,Denmark,,Off Frederickshaven,,Completed,Infrastructure,1 Jun 1983,23,
Rau,Northwest Europe,Denmark,,Rau,DONG,Possible,Fixed,31 Oct 2017,63,"01/13: No development plans have been made so far, but a possible development of the oil find could be a tieback to the cecilie facilities which are already prepared for this. 
04/10: development deferred due to limited system capacity in the Siri area
05/09: The most likely scenario - unmanned wellhead platform tied back to the Siri field via the Cecilie platform for processing of oil. The project is ready for the concept selection, and commercial terms for tie back to the Siri Field is being negotiated. PDO to be submitted in 2009."
Ravn,Northwest Europe,Denmark,5504/5,Ravn,Wintershall,Planned,Fixed,19 Jan 2016,48,"12/13: Plan to develop field by installing unmanned wellhead platform connected by a pipeline to processing platform. Possible processing platforms include: South Arne, Valdemar and A6-A. Installation of platform to take place at end of 2014. Installation time expected to take just 2 days. Afterwards, production wells will be drilled with jack-up drilling rig."
Regnar,Northwest Europe,Denmark,5505/17,Regnar,Maersk Contractors,Completed,Subsea,1 Sep 1993,45,
